Name,Config,FLOPs,Parameters,Top 1 Accuracy,Top 5 Accuracy,Epochs,Batch Size,Training Techniques
vit-large-p14_eva02_m38m-pre_in21k-medft_3rdparty_in1k-448px,configs/eva02/eva02-large-p14_in1k.py,362333836208,305104808,89.83,99.0,,,
beit-g-p14_eva-30m-in21k-pre_3rdparty_in1k-560px,configs/eva/eva-g-p14_8xb16_in1k-560px.py,1906761591680,1014447464,89.71,98.96,,,
vit-large-p14_eva02-in21k-pre_in21k-medft_3rdparty_in1k-448px,configs/eva02/eva02-large-p14_in1k.py,362333836208,305104808,89.65,98.95,,,
beit-g-p14_eva-30m-in21k-pre_3rdparty_in1k-336px,configs/eva/eva-g-p14_8xb16_in1k-336px.py,620642757504,1013005672,89.61,98.93,,,
beit-l-p14_eva-in21k-pre_3rdparty_in1k-336px,configs/eva/eva-l-p14_8xb16_in1k-336px.py,191100916736,304531432,89.17,98.86,,,
convnext-v2-huge_fcmae-in21k-pre_3rdparty_in1k-512px,configs/convnext_v2/convnext-v2-huge_32xb32_in1k-512px.py,600809158400,660289640,88.86,98.74,,,
convnext-v2-huge_fcmae-in21k-pre_3rdparty_in1k-384px,configs/convnext_v2/convnext-v2-huge_32xb32_in1k-384px.py,337955157760,660289640,88.68,98.73,,,
beit-l-p14_eva-pre_3rdparty_in1k-336px,configs/eva/eva-l-p14_8xb16_in1k-336px.py,191100916736,304531432,88.66,98.75,,,
beit-l-p14_eva-in21k-pre_3rdparty_in1k-196px,configs/eva/eva-l-p14_8xb16_in1k-196px.py,61565981696,304142312,88.58,98.65,,,
vit-base-p14_eva02-in21k-pre_in21k-medft_3rdparty_in1k-448px,configs/eva02/eva02-base-p14_in1k.py,107105984256,87126760,88.47,98.62,,,
efficientnet-l2_3rdparty-ra-noisystudent_in1k-800px,configs/efficientnet/efficientnet-l2_8xb8_in1k-800px.py,174203533416,480309308,88.33,98.65,,,
vit-base-p14_eva02-in21k-pre_3rdparty_in1k-448px,configs/eva02/eva02-base-p14_in1k.py,107105984256,87126760,88.29,98.53,,,
convnext-v2-large_fcmae-in21k-pre_3rdparty_in1k-384px,configs/convnext_v2/convnext-v2-large_32xb32_in1k-384px.py,101103214080,197956840,88.18,98.52,,,
efficientnet-l2_3rdparty-ra-noisystudent_in1k-475px,configs/efficientnet/efficientnet-l2_8xb32_in1k-475px.py,484984099280,480309308,88.18,98.55,,,
beit-l-p14_eva-pre_3rdparty_in1k-196px,configs/eva/eva-l-p14_8xb16_in1k-196px.py,61565981696,304142312,87.94,98.5,,,
convnext-xlarge_in21k-pre-3rdparty_in1k-384px,configs/convnext/convnext-xlarge_64xb64_in1k-384px.py,179196798976,350196968,87.76,98.55,,,
deit3-large-p16_in21k-pre_3rdparty_in1k-384px,configs/deit3/deit3-large-p16_64xb16_in1k-384px.py,191210034176,304763880,87.73,98.51,,,
convnext-v2-base_fcmae-in21k-pre_3rdparty_in1k-384px,configs/convnext_v2/convnext-v2-base_32xb32_in1k-384px.py,45205885952,88717800,87.63,98.42,,,
swinv2-large-w24_in21k-pre_3rdparty_in1k-384px,configs/swin_transformer_v2/swinv2-large-w24_in21k-pre_16xb64_in1k-384px.py,76200000000,196750000,87.59,98.27,,,
replknet-XL_meg73m-pre_3rdparty_in1k-320px,configs/replknet/replknet-XL_32xb64_in1k-320px.py,129570201600,335435752,87.57,98.39,,,
convnext-large_in21k-pre-3rdparty_in1k-384px,configs/convnext/convnext-large_64xb64_in1k-384px.py,101103214080,197767336,87.46,98.37,,,
vit-huge-p14_mae-1600e-pre_32xb8-coslr-50e_in1k-448px,configs/mae/benchmarks/vit-huge-p14_32xb8-coslr-50e_in1k-448px.py,732131983360,633026280,87.3,,50.0,256.0,
convnext-v2-large_fcmae-in21k-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-large_32xb32_in1k.py,34403182080,197956840,87.26,98.24,,,
swin-large_in21k-pre-3rdparty_in1k-384,configs/swin_transformer/swin-large_16xb64_in1k-384px.py,100040000000,196740000,87.25,98.25,,,
deit3-huge-p14_in21k-pre_3rdparty_in1k,configs/deit3/deit3-huge-p14_64xb32_in1k.py,167400741120,632126440,87.19,98.26,,,
vit-base-p16_clip-laion2b-in12k-pre_3rdparty_in1k-384px,configs/clip/vit-base-p16_pt-64xb64_in1k-384px.py,49370078208,86568424,87.17,98.02,,,
